r_mm,z_mm,truth_ne_m-3,observed_ne_m-3,relative_noise
0.0,12.7,1.4724799615071286e+16,1.5754754159867206e+16,0.06994693114476959
5.0,12.7,1.4780199708274116e+16,1.5026094855256294e+16,0.016636794619528966
10.0,12.7,1.486339990999847e+16,1.4042754923567098e+16,-0.05521246763194011
15.0,12.7,1.484539978415924e+16,1.486324285080343e+16,0.001201925640509059
20.0,12.7,1.4543399955089852e+16,1.4810024731825716e+16,0.018333042999518958
25.0,12.7,1.3760999676749396e+16,1.4369325541396758e+16,0.04420651689100684
30.0,12.7,1.2514599914570786e+16,1.3689152572559258e+16,0.09385459111808568
35.0,12.7,1.1055800099206872e+16,1.0999086907710584e+16,-0.005129722949708163
40.0,12.7,9662519284384430.0,9145950441116524.0,-0.05346109312327399
45.0,12.7,8348660354493449.0,8121382561392397.0,-0.02722326498510935
50.0,12.7,7120520100242096.0,7666046317371101.0,0.0766132542916995
55.0,12.7,6087339781737556.0,6076383111002947.0,-0.0017999111479663832
60.0,12.7,5324039763040519.0,5426367227105901.0,0.01921989102631047
65.0,12.7,4708079761246998.0,5022731897908038.0,0.06683237171362184
70.0,12.7,4124500056013938.0,4126512553910780.0,0.000487937415325783
75.0,12.7,3526560434944165.0,3755114626142061.5,0.06480937883076869
80.0,12.7,2886399798252758.0,2843511378779591.0,-0.014858793816133557
85.0,12.7,2207520138391108.0,2111804888617798.2,-0.043358720995890575
90.0,12.7,1502820400338107.0,1394148623269757.0,-0.07231188573425067
