collision_group,case_id,source_split,source_dataset,dimension_tuple,distinct_geometries_in_group
419,v43_tr_n3_anchor_a__center,train,v43_structure,1|3.5|3|36.5|2.5|1758.995|0.017931,3
419,v43_tr_n3_radial_minus__center,train,v43_structure,1|3.5|3|36.5|2.5|1758.995|0.017931,3
419,v43_tr_n3_radial_plus__center,train,v43_structure,1|3.5|3|36.5|2.5|1758.995|0.017931,3
419,v43_va_n3_anchor__center,val,v43_structure,1|3.5|3|36.5|2.5|1758.995|0.017931,3
420,v43_tr_n3_anchor_a__low_low,train,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0073285,3
420,v43_tr_n3_radial_minus__low_low,train,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0073285,3
420,v43_tr_n3_radial_plus__low_low,train,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0073285,3
420,v43_va_n3_anchor__low_low,val,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0073285,3
421,v43_tr_n3_anchor_a__high_low,train,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0073285,3
421,v43_tr_n3_radial_minus__high_low,train,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0073285,3
421,v43_tr_n3_radial_plus__high_low,train,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0073285,3
421,v43_va_n3_anchor__high_low,val,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0073285,3
422,v43_tr_n3_anchor_a__low_high,train,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0405195,3
422,v43_tr_n3_radial_minus__low_high,train,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0405195,3
422,v43_tr_n3_radial_plus__low_high,train,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0405195,3
422,v43_va_n3_anchor__low_high,val,v43_structure,1|3.5|3|36.5|2.5|1141.205|0.0405195,3
423,v43_tr_n3_anchor_a__high_high,train,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0405195,3
423,v43_tr_n3_radial_minus__high_high,train,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0405195,3
423,v43_tr_n3_radial_plus__high_high,train,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0405195,3
423,v43_va_n3_anchor__high_high,val,v43_structure,1|3.5|3|36.5|2.5|2409.13|0.0405195,3
439,v43_tr_n3_width_minus__center,train,v43_structure,0.95|3.5|3|36.5|2.5|1758.995|0.017931,2
439,v43_tr_n3_height_minus__center,train,v43_structure,0.95|3.5|3|36.5|2.5|1758.995|0.017931,2
440,v43_tr_n3_width_minus__low_low,train,v43_structure,0.95|3.5|3|36.5|2.5|1141.205|0.0073285,2
440,v43_tr_n3_height_minus__low_low,train,v43_structure,0.95|3.5|3|36.5|2.5|1141.205|0.0073285,2
441,v43_tr_n3_width_minus__high_low,train,v43_structure,0.95|3.5|3|36.5|2.5|2409.13|0.0073285,2
441,v43_tr_n3_height_minus__high_low,train,v43_structure,0.95|3.5|3|36.5|2.5|2409.13|0.0073285,2
442,v43_tr_n3_width_minus__low_high,train,v43_structure,0.95|3.5|3|36.5|2.5|1141.205|0.0405195,2
442,v43_tr_n3_height_minus__low_high,train,v43_structure,0.95|3.5|3|36.5|2.5|1141.205|0.0405195,2
443,v43_tr_n3_width_minus__high_high,train,v43_structure,0.95|3.5|3|36.5|2.5|2409.13|0.0405195,2
443,v43_tr_n3_height_minus__high_high,train,v43_structure,0.95|3.5|3|36.5|2.5|2409.13|0.0405195,2
444,v43_tr_n3_width_plus__center,train,v43_structure,1.05|3.5|3|36.5|2.5|1758.995|0.017931,2
444,v43_tr_n3_height_plus__center,train,v43_structure,1.05|3.5|3|36.5|2.5|1758.995|0.017931,2
445,v43_tr_n3_width_plus__low_low,train,v43_structure,1.05|3.5|3|36.5|2.5|1141.205|0.0073285,2
445,v43_tr_n3_height_plus__low_low,train,v43_structure,1.05|3.5|3|36.5|2.5|1141.205|0.0073285,2
446,v43_tr_n3_width_plus__high_low,train,v43_structure,1.05|3.5|3|36.5|2.5|2409.13|0.0073285,2
446,v43_tr_n3_height_plus__high_low,train,v43_structure,1.05|3.5|3|36.5|2.5|2409.13|0.0073285,2
447,v43_tr_n3_width_plus__low_high,train,v43_structure,1.05|3.5|3|36.5|2.5|1141.205|0.0405195,2
447,v43_tr_n3_height_plus__low_high,train,v43_structure,1.05|3.5|3|36.5|2.5|1141.205|0.0405195,2
448,v43_tr_n3_width_plus__high_high,train,v43_structure,1.05|3.5|3|36.5|2.5|2409.13|0.0405195,2
448,v43_tr_n3_height_plus__high_high,train,v43_structure,1.05|3.5|3|36.5|2.5|2409.13|0.0405195,2
459,v43_tr_n4_anchor_a__center,train,v43_structure,1|3.5|4|32.83333333|2.5|1758.995|0.017931,3
459,v43_tr_n4_radial_minus__center,train,v43_structure,1|3.5|4|32.83333333|2.5|1758.995|0.017931,3
459,v43_tr_n4_radial_plus__center,train,v43_structure,1|3.5|4|32.83333333|2.5|1758.995|0.017931,3
459,v43_va_n4_anchor__center,val,v43_structure,1|3.5|4|32.83333333|2.5|1758.995|0.017931,3
460,v43_tr_n4_anchor_a__low_low,train,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0073285,3
460,v43_tr_n4_radial_minus__low_low,train,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0073285,3
460,v43_tr_n4_radial_plus__low_low,train,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0073285,3
460,v43_va_n4_anchor__low_low,val,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0073285,3
461,v43_tr_n4_anchor_a__high_low,train,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0073285,3
461,v43_tr_n4_radial_minus__high_low,train,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0073285,3
461,v43_tr_n4_radial_plus__high_low,train,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0073285,3
461,v43_va_n4_anchor__high_low,val,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0073285,3
462,v43_tr_n4_anchor_a__low_high,train,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0405195,3
462,v43_tr_n4_radial_minus__low_high,train,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0405195,3
462,v43_tr_n4_radial_plus__low_high,train,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0405195,3
462,v43_va_n4_anchor__low_high,val,v43_structure,1|3.5|4|32.83333333|2.5|1141.205|0.0405195,3
463,v43_tr_n4_anchor_a__high_high,train,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0405195,3
463,v43_tr_n4_radial_minus__high_high,train,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0405195,3
463,v43_tr_n4_radial_plus__high_high,train,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0405195,3
463,v43_va_n4_anchor__high_high,val,v43_structure,1|3.5|4|32.83333333|2.5|2409.13|0.0405195,3
479,v43_tr_n4_width_minus__center,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|1758.995|0.017931,2
479,v43_tr_n4_height_minus__center,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|1758.995|0.017931,2
480,v43_tr_n4_width_minus__low_low,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|1141.205|0.0073285,2
480,v43_tr_n4_height_minus__low_low,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|1141.205|0.0073285,2
481,v43_tr_n4_width_minus__high_low,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|2409.13|0.0073285,2
481,v43_tr_n4_height_minus__high_low,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|2409.13|0.0073285,2
482,v43_tr_n4_width_minus__low_high,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|1141.205|0.0405195,2
482,v43_tr_n4_height_minus__low_high,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|1141.205|0.0405195,2
483,v43_tr_n4_width_minus__high_high,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|2409.13|0.0405195,2
483,v43_tr_n4_height_minus__high_high,train,v43_structure,0.9625|3.5|4|32.83333333|2.5|2409.13|0.0405195,2
484,v43_tr_n4_width_plus__center,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|1758.995|0.017931,2
484,v43_tr_n4_height_plus__center,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|1758.995|0.017931,2
485,v43_tr_n4_width_plus__low_low,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|1141.205|0.0073285,2
485,v43_tr_n4_height_plus__low_low,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|1141.205|0.0073285,2
486,v43_tr_n4_width_plus__high_low,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|2409.13|0.0073285,2
486,v43_tr_n4_height_plus__high_low,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|2409.13|0.0073285,2
487,v43_tr_n4_width_plus__low_high,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|1141.205|0.0405195,2
487,v43_tr_n4_height_plus__low_high,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|1141.205|0.0405195,2
488,v43_tr_n4_width_plus__high_high,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|2409.13|0.0405195,2
488,v43_tr_n4_height_plus__high_high,train,v43_structure,1.0375|3.5|4|32.83333333|2.5|2409.13|0.0405195,2
499,v43_tr_n5_anchor_a__center,train,v43_structure,1|3.5|5|31|2.5|1758.995|0.017931,3
499,v43_tr_n5_radial_minus__center,train,v43_structure,1|3.5|5|31|2.5|1758.995|0.017931,3
499,v43_tr_n5_radial_plus__center,train,v43_structure,1|3.5|5|31|2.5|1758.995|0.017931,3
499,v43_va_n5_anchor__center,val,v43_structure,1|3.5|5|31|2.5|1758.995|0.017931,3
500,v43_tr_n5_anchor_a__low_low,train,v43_structure,1|3.5|5|31|2.5|1141.205|0.0073285,3
500,v43_tr_n5_radial_minus__low_low,train,v43_structure,1|3.5|5|31|2.5|1141.205|0.0073285,3
500,v43_tr_n5_radial_plus__low_low,train,v43_structure,1|3.5|5|31|2.5|1141.205|0.0073285,3
500,v43_va_n5_anchor__low_low,val,v43_structure,1|3.5|5|31|2.5|1141.205|0.0073285,3
501,v43_tr_n5_anchor_a__high_low,train,v43_structure,1|3.5|5|31|2.5|2409.13|0.0073285,3
501,v43_tr_n5_radial_minus__high_low,train,v43_structure,1|3.5|5|31|2.5|2409.13|0.0073285,3
501,v43_tr_n5_radial_plus__high_low,train,v43_structure,1|3.5|5|31|2.5|2409.13|0.0073285,3
501,v43_va_n5_anchor__high_low,val,v43_structure,1|3.5|5|31|2.5|2409.13|0.0073285,3
502,v43_tr_n5_anchor_a__low_high,train,v43_structure,1|3.5|5|31|2.5|1141.205|0.0405195,3
502,v43_tr_n5_radial_minus__low_high,train,v43_structure,1|3.5|5|31|2.5|1141.205|0.0405195,3
502,v43_tr_n5_radial_plus__low_high,train,v43_structure,1|3.5|5|31|2.5|1141.205|0.0405195,3
502,v43_va_n5_anchor__low_high,val,v43_structure,1|3.5|5|31|2.5|1141.205|0.0405195,3
503,v43_tr_n5_anchor_a__high_high,train,v43_structure,1|3.5|5|31|2.5|2409.13|0.0405195,3
503,v43_tr_n5_radial_minus__high_high,train,v43_structure,1|3.5|5|31|2.5|2409.13|0.0405195,3
