source_dataset,case_id,base_case_id,split_group,source_split,operation_id,axis,pp,pp0,llcoil,rrc,nncoil,rrce,zzc,fields_npz,structure_npz,coil_01_active,coil_01_r_center,coil_01_z_center,coil_01_width,coil_01_height,coil_02_active,coil_02_r_center,coil_02_z_center,coil_02_width,coil_02_height,coil_03_active,coil_03_r_center,coil_03_z_center,coil_03_width,coil_03_height,coil_04_active,coil_04_r_center,coil_04_z_center,coil_04_width,coil_04_height,coil_05_active,coil_05_r_center,coil_05_z_center,coil_05_width,coil_05_height,coil_06_active,coil_06_r_center,coil_06_z_center,coil_06_width,coil_06_height
legacy_stage4,case_g001_op01,case_g001,case_g001,train,op01,0.0,2544.405,0.004861,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op01.npz,structure_features/case_g001_op01.npz,1.0,9.77495,18.78985,1.0145,1.0145,1.0,17.3107,18.78985,1.0145,1.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_stage4,case_g001_op02,case_g001,case_g001,train,op02,0.0,898.414,0.018023,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op02.npz,structure_features/case_g001_op02.npz,1.0,9.77495,18.78985,1.0145,1.0145,1.0,17.3107,18.78985,1.0145,1.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_stage4,case_g001_op03,case_g001,case_g001,train,op03,0.0,1924.545,0.012253,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op03.npz,structure_features/case_g001_op03.npz,1.0,9.77495,18.78985,1.0145,1.0145,1.0,17.3107,18.78985,1.0145,1.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_stage4,case_g001_op04,case_g001,case_g001,train,op04,0.0,1253.892,0.078856,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op04.npz,structure_features/case_g001_op04.npz,1.0,9.77495,18.78985,1.0145,1.0145,1.0,17.3107,18.78985,1.0145,1.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_stage4,case_g001_op05,case_g001,case_g001,train,op05,0.0,2840.12,0.008301,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op05.npz,structure_features/case_g001_op05.npz,1.0,9.77495,18.78985,1.0145,1.0145,1.0,17.3107,18.78985,1.0145,1.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_stage4,case_g001_op06,case_g001,case_g001,train,op06,0.0,1380.501,0.03792,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op06.npz,structure_features/case_g001_op06.npz,1.0,9.77495,18.78985,1.0145,1.0145,1.0,17.3107,18.78985,1.0145,1.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_stage4,case_g002_op01,case_g002,case_g002,train,op01,0.0,2823.804,0.08349,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op01.npz,structure_features/case_g002_op01.npz,1.0,4.02295,15.17845,0.5543,0.5543,1.0,8.348616667,15.17845,0.5543,0.5543,1.0,12.67428333,15.17845,0.5543,0.5543,1.0,16.99995,15.17845,0.5543,0.5543,1.0,21.32561667,15.17845,0.5543,0.5543,1.0,25.65128333,15.17845,0.5543,0.5543
legacy_stage4,case_g002_op02,case_g002,case_g002,train,op02,0.0,2255.197,0.01382,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op02.npz,structure_features/case_g002_op02.npz,1.0,4.02295,15.17845,0.5543,0.5543,1.0,8.348616667,15.17845,0.5543,0.5543,1.0,12.67428333,15.17845,0.5543,0.5543,1.0,16.99995,15.17845,0.5543,0.5543,1.0,21.32561667,15.17845,0.5543,0.5543,1.0,25.65128333,15.17845,0.5543,0.5543
legacy_stage4,case_g002_op03,case_g002,case_g002,train,op03,0.0,1339.878,0.00714,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op03.npz,structure_features/case_g002_op03.npz,1.0,4.02295,15.17845,0.5543,0.5543,1.0,8.348616667,15.17845,0.5543,0.5543,1.0,12.67428333,15.17845,0.5543,0.5543,1.0,16.99995,15.17845,0.5543,0.5543,1.0,21.32561667,15.17845,0.5543,0.5543,1.0,25.65128333,15.17845,0.5543,0.5543
legacy_stage4,case_g002_op04,case_g002,case_g002,train,op04,0.0,2138.902,0.004544,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op04.npz,structure_features/case_g002_op04.npz,1.0,4.02295,15.17845,0.5543,0.5543,1.0,8.348616667,15.17845,0.5543,0.5543,1.0,12.67428333,15.17845,0.5543,0.5543,1.0,16.99995,15.17845,0.5543,0.5543,1.0,21.32561667,15.17845,0.5543,0.5543,1.0,25.65128333,15.17845,0.5543,0.5543
